name,sex,count
Noah,M,19015
Liam,M,18138
William,M,15668
Mason,M,15192
James,M,14776
Benjamin,M,14569
Jacob,M,14416
Michael,M,13998
Elijah,M,13764
Ethan,M,13758
Alexander,M,13321
Oliver,M,12975
Daniel,M,12839
Lucas,M,12838
Matthew,M,12551
Aiden,M,12158
Jackson,M,11210
Logan,M,11200
David,M,11028
Joseph,M,10823
Samuel,M,10492
Henry,M,10323
Owen,M,10249
Sebastian,M,10249
Gabriel,M,10142
Carter,M,10134
Jayden,M,10063
John,M,9952
Luke,M,9930
Anthony,M,9815
Isaac,M,9671
Dylan,M,9657
Wyatt,M,9514
Andrew,M,9324
Joshua,M,9138
Christopher,M,9020
Grayson,M,8622
Jack,M,8367
Julian,M,8333
Ryan,M,8215
Jaxon,M,8054
Levi,M,8009
Nathan,M,7933
Caleb,M,7914
Hunter,M,7613
Christian,M,7584
Isaiah,M,7454
Thomas,M,7309
Aaron,M,7118
Lincoln,M,7076
Charles,M,7050
Eli,M,7046
Landon,M,6987
Connor,M,6983
Josiah,M,6928
Jonathan,M,6914
Cameron,M,6807
Jeremiah,M,6546
Mateo,M,6526
Adrian,M,6303
Hudson,M,6098
Robert,M,5953
Nicholas,M,5716
Brayden,M,5679
Nolan,M,5615
Easton,M,5606
Jordan,M,5589
Colton,M,5580
Evan,M,5576
Angel,M,5523
Asher,M,5466
Dominic,M,5394
Austin,M,5334
Leo,M,5260
Adam,M,5176
Jace,M,5169
Jose,M,5089
Ian,M,5048
Cooper,M,4951
Gavin,M,4913
Carson,M,4892
Jaxson,M,4868
Theodore,M,4859
Jason,M,4851
Ezra,M,4830
Chase,M,4826
Parker,M,4685
Xavier,M,4560
Kevin,M,4526
Zachary,M,4516
Tyler,M,4474
Ayden,M,4472
Elias,M,4454
Bryson,M,4333
Leonardo,M,4310
Greyson,M,4295
Sawyer,M,4213
Roman,M,4187
Brandon,M,4076
Bentley,M,4026
