name,sex,count
Emma,F,19414
Olivia,F,19246
Ava,F,16237
Sophia,F,16070
Isabella,F,14722
Mia,F,14366
Charlotte,F,13030
Abigail,F,11699
Emily,F,10926
Harper,F,10733
Amelia,F,10702
Evelyn,F,10060
Elizabeth,F,9493
Sofia,F,9134
Madison,F,8982
Avery,F,8733
Ella,F,7866
Scarlett,F,7680
Grace,F,7531
Chloe,F,7410
Victoria,F,7267
Riley,F,7110
Aria,F,6904
Lily,F,6558
Aubrey,F,6507
Zoey,F,6414
Penelope,F,6367
Lillian,F,6333
Addison,F,6295
Layla,F,6234
Natalie,F,6156
Camila,F,6036
Hannah,F,5976
Brooklyn,F,5922
Zoe,F,5706
Nora,F,5561
Leah,F,5380
Savannah,F,5336
Audrey,F,5330
Claire,F,5190
Eleanor,F,5100
Skylar,F,5099
Ellie,F,5045
Samantha,F,4924
Stella,F,4912
Paisley,F,4839
Violet,F,4837
Mila,F,4802
Allison,F,4762
Alexa,F,4760
Anna,F,4749
Hazel,F,4634
Aaliyah,F,4611
Ariana,F,4577
Lucy,F,4568
Caroline,F,4410
Sarah,F,4378
Genesis,F,4325
Kennedy,F,4313
Sadie,F,4264
Gabriella,F,4215
Madelyn,F,4208
Adeline,F,4103
Maya,F,4055
Autumn,F,3990
Aurora,F,3963
Piper,F,3926
Hailey,F,3918
Arianna,F,3869
Kaylee,F,3814
Ruby,F,3796
Serenity,F,3789
Eva,F,3777
Naomi,F,3772
Nevaeh,F,3756
Alice,F,3669
Luna,F,3645
Bella,F,3641
Quinn,F,3636
Lydia,F,3590
Peyton,F,3482
Melanie,F,3473
Kylie,F,3396
Aubree,F,3390
Mackenzie,F,3390
Kinsley,F,3353
Cora,F,3350
Julia,F,3310
Taylor,F,3261
Katherine,F,3259
Madeline,F,3257
Gianna,F,3209
Eliana,F,3185
Elena,F,3168
Vivian,F,3124
Willow,F,3086
Reagan,F,3081
Brianna,F,3076
Clara,F,3055
Faith,F,3035
